number,Sex,Age,Rating date,Traveled date,Seat comfort,Customer service,Cleanliness,Food and Beverage,Legroom,In-flight entertainment,Value for money,Check-in and Boarding,Area,Cabin,Route
1,M,35-49,24/8/2018,18-Aug,3,4,4,2,1,3,4,4,International,Economy,Miami - Quito
2,M,50-64,24/8/2018,18-May,3,4,4,3,3,3,4,5,Domestic,Economy,Colorado Springs - Fort Myers
3,F,35-49,24/8/2018,18-Aug,4,4,4,4,4,5,4,4,Mexico,Economy,Dallas - Cancun
4,M,35-49,24/8/2018,,3,1,3,2,3,3,3,1,Mexico,First Class,Seattle - Cancun
5,F,50-64,24/8/2018,18-Aug,2,3,3,3,3,3,2,3,Domestic,Economy,Baltimore - Sarasota
6,M,50-64,23/8/2018,18-Aug,3,3,2,2,3,2,3,3,Domestic,Economy,New York City - San Diego
7,M,50-64,23/8/2018,18-Aug,3,4,4,3,3,4,4,4,Mexico,Economy,Salt Lake City - Cancun
8,M,35-49,23/8/2018,,4,1,5,1,5,2,3,3,USA,First Class,Cancun - Phoenix
9,M,50-64,23/8/2018,18-Aug,2,4,4,3,3,3,3,4,International,Economy,Shannon - Chicago
10,M,65+,23/8/2018,,3,4,3,3,3,5,3,5,Domestic,Economy,Miami - Phoenix
11,M,65+,23/8/2018,18-Aug,4,4,4,3,3,5,3,5,Domestic,Economy,Phoenix - Miami
12,M,50-64,23/8/2018,18-Aug,4,5,4,5,4,5,4,5,Domestic,Economy,Phoenix - Akron
13,M,50-64,23/8/2018,,1,1,3,1,1,1,1,2,Domestic,Economy,Charlotte - Burbank
14,M,65+,22/8/2018,18-Aug,2,4,5,4,5,3,5,5,Domestic,Business Class,Austin - Las Vegas
15,M,65+,22/8/2018,18-Aug,2,3,3,3,2,4,3,3,Domestic,Economy,Charlottesville - Portland
16,F,50-64,22/8/2018,18-Jul,4,5,3,4,4,5,5,4,International,Economy,Manchester - Minneapolis
17,F,50-64,22/8/2018,18-Aug,3,5,5,5,3,4,4,5,International,Economy,Sydney - Los Angeles
18,F,50-64,22/8/2018,18-Aug,3,3,3,3,3,1,2,3,Domestic,First Class,Hartford - Los Angeles
19,F,50-64,22/8/2018,18-Jul,3,5,3,3,3,1,2,3,USA,Economy,Toronto - Washington DC
